PLAYER,POS,AGE,TRB,AST,STL,BLK,PTS
Joe Harris,SG,32,0.8,0.6,0.2,0.1,2.4
Kevon Harris,SG,26,1,0.5,0,0,2
Tobias Harris,PF,31,6.5,3.1,1,0.7,17.2
Shaquille Harrison,SG,30,0.7,0,0,0.3,0.7
Josh Hart,SF,28,8.3,4.1,0.9,0.3,9.4
Isaiah Hartenstein,C,25,8.3,2.5,1.2,1.1,7.8
Sam Hauser,SF,26,3.5,1,0.5,0.3,9
Jordan Hawkins,SG,21,2.2,1,0.3,0.1,7.8
Jaxson Hayes,C,23,3,0.5,0.5,0.4,4.3
Killian Hayes,PG,22,2.8,4.9,0.9,0.5,6.9
Gordon Hayward,SF,33,3.5,3.1,0.8,0.3,9.8
Scoot Henderson,PG,19,3.1,5.4,0.8,0.2,14
Taylor Hendricks,PF,20,4.6,0.8,0.7,0.8,7.3
Tyler Herro,SG,24,5.3,4.5,0.7,0.1,20.8
Buddy Hield,SF,31,3.2,2.8,0.8,0.5,12.1
Haywood Highsmith,PF,27,3.2,1.1,0.8,0.5,6.1
Nate Hinton,SG,24,1.5,0.7,0.2,0.1,2.2
D'Moi Hodge,SG,25,0,0.7,0.1,0.1,2
Aaron Holiday,PG,27,1.6,1.8,0.5,0.1,6.6
Jrue Holiday,PG,33,5.4,4.8,0.9,0.8,12.5
Justin Holiday,SG,34,1.2,1.2,0.6,0.2,4
Richaun Holmes,C,30,4.6,0.6,0.3,0.5,5
Chet Holmgren,C,21,7.9,2.4,0.6,2.3,16.5
Jalen Hood-Schifino,SG,20,0.6,0.4,0.1,0.1,1.6
Al Horford,C,37,6.4,2.6,0.6,1,8.6
Talen Horton-Tucker,PG,23,2.4,3.5,0.9,0.4,10.1
Danuel House Jr.,SF,30,1.7,0.8,0.4,0.1,4.2
Caleb Houstan,SF,21,1.4,0.5,0.3,0.1,4.3
Jett Howard,SF,20,0.4,0.3,0.1,0.1,1.6
Kevin Huerter,SG,25,3.5,2.6,0.7,0.4,10.2
Jay Huff,C,25,0.6,0.1,0.1,0.2,1.2
